X,Y,objectid,wri_id,mill_name_,group_name,latitude,longitude,iso,certificat,company_na,globalid
101.551900000094875,-1.524000000042158,2234,WRI_1062,Tidar Kerinci Agung,Unknown,-1.524,101.5519,IDN,None,Unknown,{DAAEA30C-CE7D-495B-8938-64CACA8036AE}
103.11320000031462,-4.563200000402763,2235,WRI_1065,Anugerah Pelangi Sukses,Unknown,-4.5632,103.1132,IDN,None,Unknown,{76F936F0-DAB1-4549-B73F-62A0E9B8A0D6}
99.477100000075879,0.229899999932302,2236,WRI_1066,Bakrie Pasaman Plantation,Unknown,0.2299,99.4771,IDN,None,Unknown,{F51596AC-EC74-4909-BEFF-27042C12C559}
101.639900000186458,-0.728199999591858,2237,WRI_1068,Tribakti Sari Mas,Unknown,-0.7282,101.6399,IDN,None,Unknown,{19050F68-3410-40BF-8B9C-7E2E14F71961}
108.024300000001588,-2.698699999725451,2238,WRI_107,Steelindo Wahana Perkasa,Unknown,-2.6987,108.0243,IDN,None,Unknown,{66782BEB-FC22-4049-89EC-B63208029D1D}
101.16270000024528,-2.385699999697719,2239,WRI_1070,Sapta Sentosa Jaya Abadi,Unknown,-2.3857,101.1627,IDN,None,Unknown,{F4838096-D409-4EE8-BFAF-2A489A666513}
99.877299999936909,-0.320299999848118,2240,WRI_1072,Mutiara Agam,Unknown,-0.3203,99.8773,IDN,None,Unknown,{D4068497-98AA-43C8-BE18-790EAB350855}
102.368999999850701,-3.777899999732513,2241,WRI_1073,Palma Mas Sejati,Unknown,-3.7779,102.369,IDN,None,Unknown,{590AE75C-45CD-4DF5-A72B-506A70C54F4C}
103.543100000386218,-1.348499999860338,2242,WRI_1079,Batanghari Sawit Sejahtera,Unknown,-1.3485,103.5431,IDN,None,Unknown,{ECD9B80C-ADD1-4AA5-8079-D430E2E9B180}
103.495500000042725,-1.386300000312283,2243,WRI_108,Bukit Bintang Sawit,Unknown,-1.3863,103.4955,IDN,None,Unknown,{EFFF40CF-CF19-434B-802B-7BB3D93FF6AA}
101.276699999792228,1.151699999675186,2244,WRI_1081,Sawit Anugrah Sejahtera,Unknown,1.1517,101.2767,IDN,None,Unknown,{7824EC34-009C-4CEF-AA17-F2B0B3B900CF}
103.861200000194529,-1.495100000207687,2245,WRI_1082,Ricky Kurniawan Kertapersada,Unknown,-1.4951,103.8612,IDN,None,Unknown,{7C3003F1-0A03-436A-97F8-AD9F481714D0}
103.627900000213117,-1.444400000089939,2246,WRI_1085,Petaling Mandraguna,Unknown,-1.4444,103.6279,IDN,None,Unknown,{EEBFA4CB-E4E2-47B1-AAAC-81EC4646FBF0}
101.054900000312799,0.162099999727998,2247,WRI_1087,Ciliandra Perkasa,Unknown,0.1621,101.0549,IDN,None,Unknown,{C1EC26C2-CB8B-4F43-BB97-D3B372BB73FA}
101.729700000426874,0.537999999596614,2248,WRI_1088,Meridian Sejati Surya Plant,Unknown,0.538,101.7297,IDN,None,Unknown,{8C8CC7E3-0CA3-45A4-BF70-4E269A0C1A7B}
101.305300000360972,1.393799999871139,2249,WRI_1089,Muriniwood Indah Industry,Unknown,1.3938,101.3053,IDN,None,Unknown,{DD62BE4B-221C-4CAA-B5E2-C1EF092FBE85}
103.165099999666296,-1.068699999896094,2250,WRI_1092,Trimitra Lestari,Unknown,-1.0687,103.1651,IDN,None,Unknown,{46069FF5-35AD-48F1-AD2B-C14F34422D5A}
103.328000000113462,-1.346700000033368,2251,WRI_1093,Brahma Bina Bakti,Unknown,-1.3467,103.328,IDN,None,Unknown,{6C83C685-F05B-496E-ABFD-85A49D147BC9}
99.382799999912407,0.332900000074994,2252,WRI_1098,Bintara Tani Nusantara,Unknown,0.3329,99.3828,IDN,None,Unknown,{BD47FB9C-5447-4E9D-B77B-57604644051C}
101.648599999558513,-1.320100000236425,2253,WRI_1099,Incasi Raya (PKS Pangian),Unknown,-1.3201,101.6486,IDN,None,Unknown,{0E95DD2D-93E0-43EA-A998-AC09F16A4863}
101.386800000364104,-0.108999999860624,2254,WRI_110,Adimulia Agrolestari,Unknown,-0.109,101.3868,IDN,None,Unknown,{B58FBEE3-26AE-4F99-9363-B75057FB46A4}
100.917299999712284,-2.1842000000081,2255,WRI_1100,Incasi Raya (PKS Sodetan),Unknown,-2.1842,100.9173,IDN,None,Unknown,{A930E73F-5D2E-4B10-8C4C-46381B700D82}
102.234699999972293,-1.684300000126601,2256,WRI_1101,Mega Sawindo Perkasa,Unknown,-1.6843,102.2347,IDN,None,Unknown,{65A08DAD-5B4B-4581-B2EE-5DC19B3BBCCB}
101.575700000266636,-1.250300000285705,2257,WRI_1103,Selago Makmur Plantation,Unknown,-1.2503,101.5757,IDN,None,Unknown,{21D331B1-210E-49A2-A7EE-AF30849DB575}
100.027600000240284,-0.061300000112626,2258,WRI_1105,Inkud Agritama,Unknown,-0.0613,100.0276,IDN,None,Unknown,{9D2260DB-F67C-4105-AC1D-0A98DB6372FA}
103.737399999837066,-3.459999999558349,2259,WRI_1108,Cipta Futura,Unknown,-3.46,103.7374,IDN,None,Unknown,{2023F7C7-8127-4A2E-9F74-7AD38B869257}
105.158799999715256,-4.029899999958681,2260,WRI_1109,Garuda Bumi Perkasa,Unknown,-4.0299,105.1588,IDN,None,Unknown,{302FB7FC-2E87-4863-900A-C42E0C71F982}
