objectid,country,name,company,group_comp,subgroup,groupid,type,area_ha,source,last_updat,gfwid,cert_stat,globalid,shape_Length,shape_Area,globalid1
17325,MYS,"Loba Kabang OPP (RH Forest Corp, part of LPF/0029)",Rimbunan Hijau, , , , ,30050,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{440C0E57-B497-4F9A-9984-D4DC73A101FA},46501.9277850137,62031371.4465178,{440C0E57-B497-4F9A-9984-D4DC73A101FA}
17326,MYS,"Loba Kabang OPP (RH Forest Corp, part of LPF/0029)",Rimbunan Hijau, , , , ,30050,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{02973548-89A2-4300-8B78-931234BD9BEA},81716.2652372242,218098711.308176,{02973548-89A2-4300-8B78-931234BD9BEA}
17327,MYS,"Saribas estate (RH Forest Corp, part of LPF0034)",Rimbunan Hijau, , , , ,11450,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{281522CB-3966-47ED-9A1A-D2333A4E8757},71237.3767410565,94534045.2604357,{281522CB-3966-47ED-9A1A-D2333A4E8757}
17328,MYS,"Rimbas Estate (RH Forest Corp, part of LPF0034)",Rimbunan Hijau, , , , ,0,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{2B5B342C-8597-4B8D-86C8-45FB1FEF2B92},20603.1806843419,24478118.6960956,{2B5B342C-8597-4B8D-86C8-45FB1FEF2B92}
17329,MYS,Naman (LPF0010),Ta Ann, , , , ,13145,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{03E615DF-8E3B-4E96-9F4F-CFD0EF669046},49707.379295283,129427245.565413,{03E615DF-8E3B-4E96-9F4F-CFD0EF669046}
17330,MYS,LPF/0006 Samling Lana,Samling, , , , ,81900,"Sarawak Forest Department maps, 2010", , ,,{E9E87742-29C8-4541-80FC-ABD5A576DEA7},197264.595554645,826764458.593037,{E9E87742-29C8-4541-80FC-ABD5A576DEA7}
17331,MYS,LPF/0007 Jelalong OP (Glenealy) Part 1,Samling, , , , ,74510,"Sarawak Forest Department maps, 2010", , ,,{E46ACF02-A316-4680-B1B4-2A4F5B2BA6A6},145239.974225092,109213975.251164,{E46ACF02-A316-4680-B1B4-2A4F5B2BA6A6}
17332,MYS,LPF/0007 Jelalong OP (Glenealy) Part 2,Samling, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{BD42B3FC-3B24-4F6F-8F57-D8D7ECBFB1B1},43797.0165462565,38699364.2984776,{BD42B3FC-3B24-4F6F-8F57-D8D7ECBFB1B1}
17333,MYS,LPF/0007 Jelalong OP (Glenealy) Part 3,Samling, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{24CC7A19-4980-4B1F-B30F-BB835A28AD61},75157.3569304217,77653782.0650193,{24CC7A19-4980-4B1F-B30F-BB835A28AD61}
17334,MYS,LPF/0007 Samling Jelalong (OP),Samling, , , , ,0,"Sarawak Forest Department maps, 2010", , ,,{B54D88D3-353A-4714-B31C-091DB9EFDEC0},246892.710522127,749532275.873143,{B54D88D3-353A-4714-B31C-091DB9EFDEC0}
17335,MYS,LPF/0009 Woodman (OP) - Tatau Estate,Samling, , , , ,7450,"Sarawak Forest Department maps, 2010", , ,,{73761F94-EE6D-4A6A-A1F3-82342E0AB337},35641.1794529253,72514543.06174,{73761F94-EE6D-4A6A-A1F3-82342E0AB337}
17336,MYS,LPF/0009 Woodman (OP) - Semanok Estate,Samling, , , , ,3400,"Sarawak Forest Department maps, 2010", , ,,{86DA09CD-6015-4A06-8125-8B9ED67F9864},38386.3998456116,34483375.76475,{86DA09CD-6015-4A06-8125-8B9ED67F9864}
17337,MYS,LPF/0035 (Simunjan OP Plantation),Rimbunan Hijau, , , , ,15580,"Map from Environmental Impact Assessment, obtained from NREB library and digitised by Aidenvironment", , ,,{89E5AE02-E142-4BD1-9B35-1F1B9A525F78},72764.4794419102,156684700.534278,{89E5AE02-E142-4BD1-9B35-1F1B9A525F78}
