datetime,timestamp,location,latitude,longitude,request_status,precipIntensityMax_mmhr,precipIntensitySum_mm,temperatureMax_C,temperatureMin_C,temperatureMean_C,humidityMean,no_daily,no_hourly,uvIndex,
2014-02-17 17:00:00+08:00,1392627600,Sambas,1.352003,109.477756,200,,0,31.17,24.28,28.112,0.786,,,1.2,
2014-02-18 17:00:00+08:00,1392714000,Sambas,1.352003,109.477756,200,,0,32.18,23.47,28.51,0.75,,,2.6,
2014-02-19 17:00:00+08:00,1392800400,Sambas,1.352003,109.477756,200,,0,32.08,22.78,28.432,0.768,,,1.7,
2014-02-20 17:00:00+08:00,1392886800,Sambas,1.352003,109.477756,200,,0,29.97,23.37,27.454,0.804,,,1.44,
2014-02-21 17:00:00+08:00,1392973200,Sambas,1.352003,109.477756,200,,0,32.38,24.77,28.625,0.725,,,7.8,
2014-02-22 17:00:00+08:00,1393059600,Sambas,1.352003,109.477756,200,,0,30.18,25.58,27.896,0.742,,,4.43,
2014-02-23 17:00:00+08:00,1393146000,Sambas,1.352003,109.477756,200,,0,30.49,21.98,27.42,0.786,,,4.34,
2014-02-24 17:00:00+08:00,1393232400,Sambas,1.352003,109.477756,200,,0,31.78,22.38,28.078,0.734,,,6.96,
2014-02-25 17:00:00+08:00,1393318800,Sambas,1.352003,109.477756,200,,0,31.78,23.76,28.388,0.726,,,5.24,
2014-02-26 17:00:00+08:00,1393405200,Sambas,1.352003,109.477756,200,,0,32.48,22.38,28.356,0.724,,,4.96,
2014-02-27 17:00:00+08:00,1393491600,Sambas,1.352003,109.477756,200,,0,32.48,24.17,28.392,0.724,,,2.2,
2014-02-28 17:00:00+08:00,1393578000,Sambas,1.352003,109.477756,200,,0,30.76,24.28,28.09,0.742,,,4.46,
2014-03-01 17:00:00+08:00,1393664400,Sambas,1.352003,109.477756,200,,0,30.67,24.58,28.252,0.754,,,4.06,
2014-03-02 17:00:00+08:00,1393750800,Sambas,1.352003,109.477756,200,,0,28.67,24.07,26.924,0.864,,,2.59,
2014-03-03 17:00:00+08:00,1393837200,Sambas,1.352003,109.477756,200,,0,32.58,22.58,28.41,0.764,,,13.2,
2014-03-04 17:00:00+08:00,1393923600,Sambas,1.352003,109.477756,200,,0,32.98,26.66,30.688,0.664,,,7.83,
2014-03-05 17:00:00+08:00,1394010000,Sambas,1.352003,109.477756,200,,0,30.49,22.78,27.754,0.77,,,4.96,
2014-03-06 17:00:00+08:00,1394096400,Sambas,1.352003,109.477756,200,,0,32.58,22.58,28.412,0.752,,,3.62,
2014-03-07 17:00:00+08:00,1394182800,Sambas,1.352003,109.477756,200,,0,31.17,24.17,28.328,0.752,,,5.34,
2014-03-08 17:00:00+08:00,1394269200,Sambas,1.352003,109.477756,200,,0,30.98,21.18,27.894,0.684,,,2.97,
2014-03-09 17:00:00+08:00,1394355600,Sambas,1.352003,109.477756,200,,0,30.86,22.97,28.172,0.694,,,2.44,
2014-03-10 17:00:00+08:00,1394442000,Sambas,1.352003,109.477756,200,,0,32.18,22.38,28.356,0.692,,,4.47,
2014-03-11 17:00:00+08:00,1394528400,Sambas,1.352003,109.477756,200,,0,31.68,22.38,28.638,0.686,,,3.09,
2014-03-12 17:00:00+08:00,1394614800,Sambas,1.352003,109.477756,200,,0,32.18,24.58,28.598,0.734,,,1.81,
2014-03-13 17:00:00+08:00,1394701200,Sambas,1.352003,109.477756,200,,0,29.59,24.17,27.612,0.808,,,2.59,
