datetime,timestamp,location,latitude,longitude,request_status,precipIntensityMax_mmhr,precipIntensitySum_mm,temperatureMax_C,temperatureMin_C,temperatureMean_C,humidityMean,sunshineTime,uvIndex,no_daily,no_hourly
2017-01-29 17:00:00+08:00,1485680400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,29.42,22.69,26.31363636363636,0.8581818181818179,6.600000000000001,30.63,,
2017-01-30 17:00:00+08:00,1485766800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,33.37,22.79,27.63217391304348,0.8100000000000002,5.5500000000000025,13.42,,
2017-01-31 17:00:00+08:00,1485853200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,29.35,23.64,26.039090909090906,0.8754545454545454,5.670000000000003,20.37,,
2017-02-01 17:00:00+08:00,1485939600,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.34,22.69,24.87545454545454,0.9013636363636364,6.980000000000002,23.75,,
2017-02-02 17:00:00+08:00,1486026000,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.42,21.68,25.77083333333333,0.8570833333333333,5.170000000000002,17.200000000000006,,
2017-02-03 17:00:00+08:00,1486112400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,32.42,23.79,28.05863636363636,0.7859090909090909,7.220000000000002,32.99,,
2017-02-04 17:00:00+08:00,1486198800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,33.48,22.71,27.5282608695652,0.8326086956521741,5.860000000000001,20.2,,
2017-02-05 17:00:00+08:00,1486285200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.53,22.75,27.13681818181818,0.8713636363636362,7.910000000000003,44.540000000000006,,
2017-02-06 17:00:00+08:00,1486371600,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.43,24.4,27.50090909090908,0.8295454545454546,7.290000000000003,25.480000000000004,,
2017-02-07 17:00:00+08:00,1486458000,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.5,23.71,27.35416666666667,0.78875,7.970000000000002,33.74,,
2017-02-08 17:00:00+08:00,1486544400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,32.42,23.7,28.03590909090909,0.8072727272727271,5.670000000000003,20.44,,
2017-02-09 17:00:00+08:00,1486630800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.35,23.71,26.8004347826087,0.8669565217391305,7.230000000000002,24.44,,
